Value,Stealth,Steal,Firearms,Unarmed,First Aid,Lockpick,Hacking,Perception,Investigation,Deception,Persuasion
0,1,1,1,1,1,1,1,1,1,1,1
5,3,3,3,3,3,3,3,3,3,3,3
10,7,7,7,7,7,7,7,7,7,7,7
15,13,13,13,13,13,13,13,13,13,13,13
20,17,17,17,17,17,17,17,17,17,17,17
25,20,20,20,20,20,20,20,20,20,20,20
30,26,26,26,26,26,26,26,26,26,26,26
35,32,32,32,32,32,32,32,32,32,32,32
40,38,38,38,38,38,38,38,38,38,38,38
45,44,44,44,44,44,44,44,44,44,44,44
50,50,50,50,50,50,50,50,50,50,50,50
55,44,44,44,44,44,44,44,44,44,44,44
60,38,38,38,38,38,38,38,38,38,38,38
65,32,32,32,32,32,32,32,32,32,32,32
70,26,26,26,26,26,26,26,26,26,26,26
75,20,20,20,20,20,20,20,20,20,20,20
80,12,12,12,12,12,12,12,12,12,12,12
85,5,5,5,5,5,5,5,5,5,5,5
90,1,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1,1,1,1,1
